Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDP27,OUT046,2969.086446407099
FDO38,OUT010,-247.65393626232844
FDE28,OUT027,3915.683189456328
FDO27,OUT035,1549.9230116089068
DRL23,OUT027,2132.8040200696028
FDS28,OUT046,940.9419663589931
FDX24,OUT013,1415.281027240647
FDZ02,OUT035,1831.5192692014493
FDL46,OUT045,1801.5410607510732
FDS60,OUT027,3248.179725721274
NCO06,OUT017,591.0200627221874
FDO16,OUT035,1733.674511232812
FDC60,OUT049,1425.9540835533007
FDA48,OUT018,3371.0718130515943
FDZ36,OUT027,3512.567495797936
FDK27,OUT045,1990.707164004296
FDW23,OUT018,396.9915071245305
FDM14,OUT018,1631.03925993287
FDM14,OUT013,1757.109460603591
FDW60,OUT018,2810.4107652668513
FDE21,OUT013,1957.4131000809155
NCM42,OUT035,1831.5192692014493
FDY59,OUT010,79.9446619169053
DRI49,OUT049,1241.2206021416225
FDT28,OUT019,2710.771698347397
FDQ22,OUT018,479.9837879604273
FDR60,OUT049,1241.2206021416225
FDC50,OUT019,533.9299149908995
FDV24,OUT013,2343.049556992633
DRF48,OUT010,1605.2975905003202
FDQ47,OUT046,407.6746079099495
DRN36,OUT049,1705.960459764851
NCY06,OUT035,2066.6920365313167
FDE52,OUT035,1542.0625443144556
NCB54,OUT045,1905.461837736412
NCF31,OUT035,2539.2768572462064
FDJ08,OUT027,3336.808587761863
NCC07,OUT017,1824.3814545602586
NCD19,OUT027,1318.2168814852796
FDL46,OUT049,1924.0274842816711
FDM20,OUT045,3892.4977846346837
NCI06,OUT010,1310.2892480637108
DRM11,OUT035,4005.648685016423
NCH07,OUT018,2354.805124755851
FDS23,OUT013,1885.659115753332
FDO49,OUT018,637.8120745488862
FDS35,OUT049,808.8321575235857
DRK39,OUT045,1326.8909291391933
DRI39,OUT049,861.2038659995357
FDV04,OUT017,2411.809152158526
NCN14,OUT035,3293.261276383971
FDH08,OUT013,3868.833633692879
FDS20,OUT046,3059.600028175288
FDV40,OUT049,975.393227304237
FDZ48,OUT010,117.8818508548184
FDS24,OUT027,1697.7578423275281
FDK44,OUT049,2770.098911647105
FDS48,OUT045,2568.035401671085
FDK26,OUT010,1672.3879031520205
FDD23,OUT045,3098.05001781032
NCH54,OUT017,2715.156545867072
NCP14,OUT010,128.90499433656086
FDM60,OUT010,-880.8974708003078
FDV24,OUT017,2448.763275478017
FDH08,OUT018,3607.174847674864
FDS12,OUT027,2101.045618188512
FDR39,OUT027,3217.5591533613274
FDP12,OUT027,992.27464346955
DRF60,OUT027,4157.05157296671
FDC09,OUT035,1883.8909776773996
FDF50,OUT018,2859.763299308668
FDG28,OUT035,3936.6379115659333
NCE19,OUT017,1106.0484767125047
NCM53,OUT010,148.4993997720759
NCN18,OUT049,1874.4226629040782
FDF32,OUT035,3430.4149818551455
FDF11,OUT013,3934.9188844670284
DRI59,OUT049,3863.653631123249
NCG54,OUT035,2803.0468443313566
FDM44,OUT046,1725.8055507160655
FDT57,OUT018,3725.631806924963
FDV24,OUT046,2343.049556992633
FDI50,OUT019,4090.966322192562
FDS09,OUT035,974.5640066923379
NCC31,OUT027,2946.8747329706675
FDQ07,OUT019,3135.712775090157
FDC22,OUT017,2990.030613924438
FDZ56,OUT046,2780.325406681869
FDZ40,OUT019,1308.6641077137567
FDS46,OUT027,2221.140550049201
DRD24,OUT045,2064.146671068669
FDV45,OUT017,3259.280216605225
FDL26,OUT045,2498.973104782423
FDA56,OUT018,1732.1931498198514
FDN27,OUT046,1504.062259631989
FDM20,OUT049,3929.7388818973973
FDO16,OUT017,1733.674511232812
FDL03,OUT035,3264.4890568757896
FDE58,OUT046,1804.6858325846438
FDI02,OUT027,2089.032206812409
NCC55,OUT019,860.1663002327577
FDR03,OUT018,3127.8608455399376
FDB14,OUT017,1338.0980230487673
FDR45,OUT013,3895.642556468255
NCN07,OUT017,2113.495638270484
FDM51,OUT019,2028.8093286831247
FDT52,OUT027,4198.646334435313
FDL26,OUT046,2502.117876615993
NCZ42,OUT046,3874.574757879831
DRI47,OUT019,2999.139221700941
FDW40,OUT013,1870.464736277743
FDN34,OUT046,2759.257608093445
FDS01,OUT035,3025.447630850666
NCG55,OUT045,1967.363708724521
FDC11,OUT035,1253.3284720807226
FDX35,OUT018,3689.6135862357287
NCB06,OUT046,2609.442827381688
FDR09,OUT019,4324.191595025027
FDC53,OUT017,1810.4514706130249
FDY45,OUT013,4059.1165520339473
FDA22,OUT010,906.809676670526
FDE02,OUT035,1634.6925625769516
FDW21,OUT045,1853.928619213654
FDV34,OUT046,950.4947401305153
FDS59,OUT049,1747.5552212334533
NCW17,OUT017,2152.771966269257
NCK54,OUT046,1918.1367720821427
FDG17,OUT019,4157.05157296671
FDG35,OUT017,2551.028991813316
FDD08,OUT010,-956.5900232966687
NCO07,OUT017,3442.861641567386
FDJ10,OUT010,-664.3111124253901
FDW36,OUT017,1725.2061443451416
FDW21,OUT010,317.5256271043718
FDY19,OUT017,2016.712675926336
DRE03,OUT013,892.3330459257103
NCC55,OUT049,617.0540660753271
FDH52,OUT010,-598.6057975838593
FDO09,OUT017,4718.347093881009
FDU43,OUT045,3779.046845137186
FDX09,OUT010,1144.0831137991604
FDH40,OUT019,1522.4747095912937
FDW58,OUT017,1803.3136559718344
FDC47,OUT017,3790.816026030943
NCR41,OUT035,1863.657782559032
DRG49,OUT035,3970.735702593692
FDC52,OUT027,2886.53060638347
FDY13,OUT046,971.5625387189397
FDY35,OUT013,780.9189019772148
FDI35,OUT017,3323.998579992929
NCU18,OUT049,1995.074643475076
FDY33,OUT018,2181.5779070991225
FDC15,OUT027,2673.817575027907
FDU01,OUT049,3171.8038652311243
NCU42,OUT046,2767.2300262046924
NCV29,OUT018,2658.075126347268
NCY30,OUT017,3264.4890568757896
FDQ46,OUT049,1755.4063908867886
FDG58,OUT027,2876.977832611948
FDK33,OUT017,3259.8662310873638
NCD07,OUT045,1808.678875392264
NCX29,OUT027,3027.9114412091217
NCT42,OUT013,2539.87626361713
DRN59,OUT035,951.243162671927
FDI44,OUT035,1397.607546165908
FDA45,OUT049,2218.883139752957
FDP31,OUT045,272.746996842674
FDY01,OUT046,1636.5405144896
FDT09,OUT018,1784.5648582958013
DRH03,OUT027,2072.4598934824053
FDA36,OUT018,2883.186568425157
NCF31,OUT017,2539.2768572462064
FDG14,OUT049,2467.659464189965
FDG28,OUT027,4198.646334435313
FDU14,OUT049,4054.7711529343737
FDY47,OUT019,2411.4140952892362
FDI56,OUT049,1499.2173707663962
DRD01,OUT013,865.2494138626322
FDM22,OUT046,1002.8664486064653
FDH33,OUT013,492.44415887799414
DRZ24,OUT013,1887.516199722196
NCQ38,OUT046,1757.109460603591
FDO16,OUT027,1843.347295182609
FDU07,OUT027,2801.2852801155873
NCB07,OUT013,3128.154766030459
FDU48,OUT045,1898.324023095222
NCM43,OUT045,2676.1949559068366
FDR31,OUT010,1061.2487440433779
DRK49,OUT018,479.9837879604273
NCI30,OUT010,2152.1302712597144
DRD60,OUT017,3038.543011327843
NCG19,OUT046,3606.908484234523
FDH12,OUT035,1800.8986968415024
FDM32,OUT035,1574.201057672038
FDM27,OUT035,2363.9937245099727
NCU53,OUT027,2934.3460340320244
NCQ18,OUT046,1496.5810015994732
FDS10,OUT013,2873.319769725319
FDB33,OUT027,2934.3460340320244
FDI12,OUT013,1239.522119204574
NCW42,OUT013,3716.106366196608
NCC06,OUT018,1746.1231337670856
FDW02,OUT017,2272.9690918312576
NCD43,OUT017,1870.7955972002226
FDM57,OUT018,1144.0694674511105
FDA58,OUT017,3804.529568329142
FDK56,OUT046,2884.316895439054
FDP52,OUT045,3798.206920630921
FDW20,OUT018,1746.1231337670856
FDS52,OUT049,1738.8340775567847
NCT29,OUT018,1550.1648612078202
NCL54,OUT013,2849.8370120065633
FDC05,OUT045,2965.9416745735284
FDF34,OUT035,3250.5590729285555
FDP03,OUT027,2276.328750924747
FDD32,OUT010,-81.44780199777742
FDZ10,OUT045,1983.569349363105
FDZ40,OUT035,1077.2762572043232
FDD51,OUT018,230.78537285997973
NCY30,OUT019,3183.4613623335686
FDP58,OUT017,2873.704352220776
FDV49,OUT017,4336.7569324692095
FDY24,OUT019,47.265958245292865
NCO55,OUT017,1860.2914887096308
FDR13,OUT017,2023.8504905675265
FDS51,OUT017,1129.6479656802733
FDP26,OUT045,1441.0645212899524
NCB54,OUT027,2276.328750924747
FDF32,OUT017,3293.378007632984
FDN31,OUT018,2873.6337946536346
DRM48,OUT017,650.5295858393279
FDN20,OUT049,2754.912208993872
DRL01,OUT046,3801.351692464491
FDV56,OUT049,1791.2057860327347
DRH13,OUT027,2132.8040200696028
FDA03,OUT017,2665.274620802664
FDF47,OUT027,4000.4527404243718
FDX32,OUT046,2486.962082197629
FDX57,OUT049,1747.5552212334533
NCA30,OUT045,2874.0343089642934
FDO49,OUT013,899.4708605669005
FDL04,OUT019,801.5089702424182
DRM48,OUT035,650.5295858393279
FDR16,OUT013,2985.5314192070973
NCC19,OUT018,2707.4276603890844
NCE42,OUT045,3457.355473596107
FDY24,OUT017,948.0156385313647
FDH19,OUT049,2907.4160951544623
FDJ46,OUT013,2815.7392209788036
FDN45,OUT010,990.8530052816533
FDY08,OUT035,1839.0371953191325
FDZ37,OUT035,1581.3388723132284
NCT30,OUT045,865.7055163733834
DRY23,OUT018,230.78537285997973
NCZ30,OUT018,1753.2609484082761
FDC44,OUT018,1427.2534369475354
FDB45,OUT035,1456.7210847500696
FDY04,OUT013,2575.345036353929
FDM27,OUT046,2566.6238926772603
FDZ43,OUT017,3895.043150097331
FDT39,OUT019,2946.8747329706675
NCC06,OUT019,2317.923512393349
FDL15,OUT027,2842.880041584189
FDL57,OUT017,4058.0203934923743
FDU08,OUT046,1725.8055507160655
FDK40,OUT017,4073.995291445157
FDQ12,OUT010,2183.6964168949453
FDS48,OUT017,2697.961690578464
FDP09,OUT045,3172.075539356833
FDW21,OUT049,1891.1697164763682
FDY25,OUT035,2986.1713028518925
DRE13,OUT017,1542.0625443144556
FDV43,OUT019,775.3967492647133
FDD22,OUT045,1661.422657605291
FDM46,OUT019,862.5999234562172
NCO30,OUT010,1619.2275744475535
FDM25,OUT046,2774.1444595102016
NCN41,OUT049,1995.074643475076
FDU24,OUT045,1441.0645212899524
FDZ50,OUT046,3135.2925806716494
FDP45,OUT013,4080.1843506223736
NCM54,OUT045,1957.8335462123623
FDW10,OUT019,3051.3530190967767
FDP20,OUT017,2048.777274882779
FDK32,OUT046,2527.5296087053753
FDN52,OUT049,1188.8488936656724
FDM58,OUT045,1889.5532741173142
FDZ46,OUT027,2198.495705058177
NCA18,OUT018,1550.1648612078202
FDD35,OUT046,2014.919734426291
NCK31,OUT035,1005.1845790522842
FDI40,OUT027,1896.7009854463324
FDT50,OUT019,801.5089702424182
NCT06,OUT046,2640.0633997416344
FDT31,OUT035,3243.421258287365
FDT45,OUT049,951.7174477677257
FDT13,OUT045,3254.416417672749
FDO50,OUT045,1454.9551901115042
NCU18,OUT010,556.5158984675695
NCR54,OUT049,3281.1534064448706
NCO18,OUT018,2618.798798348495
FDU09,OUT045,937.7971945254227
FDT13,OUT018,2995.902403488305
FDE09,OUT046,1957.4131000809155
NCK53,OUT019,2062.9071197108824
FDG45,OUT049,3195.386652672313
DRH15,OUT035,808.3578724277869
FDO21,OUT019,4236.555775047642
FDD14,OUT027,3252.0390367938185
FDC09,OUT046,1778.1772591920153
FDH45,OUT027,860.1663002327577
FDV32,OUT046,1000.3347582271208
FDG12,OUT035,2002.7826919791016
FDS32,OUT013,2007.7819197851002
NCL55,OUT018,3659.840731272099
DRE01,OUT035,3719.7600173610967
DRE15,OUT049,1562.0931877329385
NCL42,OUT045,3885.3599699934944
FDP31,OUT013,275.89176867624457
FDN33,OUT018,1267.3200580735534
FDZ59,OUT046,2390.864984641187
FDE45,OUT010,1310.2892480637108
FDJ07,OUT013,1897.068973493718
FDQ45,OUT018,2883.186568425157
FDM33,OUT027,3386.6884603227522
FDO15,OUT010,-71.89502822625529
FDM46,OUT013,1154.7525682365292
FDR03,OUT045,3386.3748597243816
FDY49,OUT018,2497.5988220754307
FDQ60,OUT045,1718.1652936240744
FDW10,OUT049,2479.4115987570754
FDO51,OUT049,723.3671909316347
FDJ40,OUT018,1410.2053483176935
FDS20,OUT018,2797.941242157273
FDU45,OUT013,1970.5084805580927
FDV02,OUT035,2779.726000310946
FDN09,OUT046,3948.0142649442046
NCM55,OUT027,3503.0147220264143
FDN23,OUT018,2339.137721968215
FDY31,OUT010,1061.2487440433779
FDW03,OUT010,338.59342569279636
FDD14,OUT046,2877.1790807978637
FDV23,OUT017,1923.8067462871768
DRI03,OUT045,2916.589140531712
FDN13,OUT035,1542.7851969677163
FDF45,OUT027,1318.2168814852796
FDU46,OUT035,1520.9947457260312
FDB57,OUT049,3895.792144480832
FDV12,OUT049,1791.2057860327347
FDQ58,OUT013,2579.152591615903
NCA18,OUT017,1917.5373657112186
FDH52,OUT049,984.5910655596583
FDM24,OUT018,2247.596905239169
NCP43,OUT027,3248.179725721274
NCO18,OUT019,3183.4613623335686
FDM32,OUT017,1574.201057672038
NCL07,OUT017,847.3562924638254
FDK03,OUT013,3997.1920697864753
FDP59,OUT017,1311.1316318949885
FDQ24,OUT049,4093.2128774630896
FDQ16,OUT018,1457.0089500568604
FDU44,OUT013,2481.378566409377
FDH28,OUT010,-1079.5014475569533
FDV28,OUT019,-502.6047702226744
FDM22,OUT045,1020.7894753613193
FDR56,OUT046,3021.458154883049
FDV39,OUT049,3178.9416798723146
FDU37,OUT019,1522.4747095912937
FDQ11,OUT010,2369.9399763597085
FDX02,OUT045,3772.471117480178
NCS42,OUT018,1144.0694674511105
FDY57,OUT027,1896.7009854463324
FDB21,OUT049,3648.142624304856
FDE28,OUT017,3653.6747665869484
FDQ55,OUT017,2055.1544004550515
FDA48,OUT049,3666.826924498752
FDZ19,OUT045,2906.0850320411205
NCC43,OUT045,4053.440089821032
NCV18,OUT046,1239.522119204574
NCA42,OUT018,2326.032905247669
FDY45,OUT046,3982.927247366936
NCC30,OUT045,2929.684521008889
FDM57,OUT013,1405.7282534691244
FDL09,OUT010,-110.75060220653387
FDB09,OUT027,2276.328750924747
FDT44,OUT035,1879.3954924189788
NCT06,OUT027,2955.4138326204493
FDX26,OUT049,3281.1534064448706
FDK32,OUT013,2527.5296087053753
DRA12,OUT046,1967.392146535292
FDO46,OUT010,1665.6417170875175
FDE52,OUT013,1436.3488258290713
NCH42,OUT045,3826.412533860536
FDV08,OUT035,794.9845839878752
FDB47,OUT018,3065.936363292465
FDC28,OUT010,350.61859162868734
FDD22,OUT046,1721.3100654576447
FDS07,OUT027,2089.032206812409
DRI13,OUT045,3138.0901559690865
FDG32,OUT018,3279.1644474423592
FDU14,OUT017,4126.388545990615
FDD28,OUT019,1368.0568995818849
NCP41,OUT017,1923.1673056761729
FDS08,OUT049,2808.2407849393444
FDX47,OUT045,2584.5469194321136
FDC53,OUT019,2132.8040200696028
FDQ19,OUT035,3980.288476365215
FDL14,OUT045,2536.7314917835597
FDM33,OUT019,3915.683189456328
FDA51,OUT045,1633.3957426560294
FDZ27,OUT018,677.0884025476593
FDT04,OUT046,544.8158673539447
DRC13,OUT049,2049.0160598554335
FDR16,OUT027,3220.482326058201
FDQ03,OUT027,4232.744125463073
FDE38,OUT035,2768.9490533035987
DRH23,OUT027,1057.6884224811618
FDT11,OUT019,3427.322169530053
FDD09,OUT035,3077.819339326616
FDR40,OUT045,1412.1362554070768
FDX07,OUT017,3303.765384874562
FDR07,OUT035,2362.0398009530013
FDA51,OUT017,1742.2542329749842
FDT59,OUT019,4197.279447048869
FDF20,OUT017,3271.6268715169795
FDR13,OUT045,1914.9920002485715
FDY26,OUT049,3385.1742324583797
FDW04,OUT017,2014.3203280553664
FDK52,OUT017,3897.512637178353
FDN60,OUT049,2702.9319446789586
FDM09,OUT019,2966.5834681287324
FDP46,OUT049,1492.1962873742182
FDB50,OUT019,244.47319010390584
NCQ29,OUT049,3767.825157695631
FDP16,OUT027,4263.364697823018
FDX33,OUT018,2129.2061986231724
FDP07,OUT010,1598.1597758591297
FDN22,OUT046,3739.078569912689
FDF39,OUT049,3953.1014575903932
FDS21,OUT017,1109.4147705619057
NCM42,OUT013,1725.8055507160655
FDK50,OUT019,2890.695469232744
DRF13,OUT027,2907.5984049718945
FDH35,OUT018,2212.5819657501715
FDP60,OUT018,1410.2053483176935
DRJ49,OUT027,2361.5740771926307
NCT42,OUT019,2842.880041584189
FDE38,OUT049,2697.331660247357
FDI04,OUT049,3221.7606145767427
NCH54,OUT045,2606.298055548117
FDT56,OUT049,861.2038659995357
DRD15,OUT018,3461.585394819784
FDV58,OUT013,2730.7708419930186
FDP21,OUT049,3200.009478460739
FDH05,OUT013,3910.7012336782373
FDR10,OUT027,2934.3460340320244
NCP06,OUT045,2529.593677142369
FDF33,OUT049,1799.1782041439822
DRK37,OUT013,3297.180993362755
DRH49,OUT045,1404.998440765886
FDT58,OUT013,2697.333125845973
FDD41,OUT018,1433.5261923381045
FDP40,OUT018,1225.007092959784
FDM51,OUT027,2093.5276920708293
FDO45,OUT010,-209.51206297008846
FDW33,OUT010,-95.33847081932926
FDY24,OUT045,1099.6856072165276
FDB10,OUT010,2159.268085900905
FDM40,OUT035,1839.0371953191325
NCI06,OUT017,2921.452939464188
FDW12,OUT019,3318.8224564856378
FDX48,OUT027,2907.5984049718945
NCW05,OUT027,1811.9314344782879
FDX27,OUT017,1627.554747935761
DRM37,OUT045,3243.912309182157
FDA38,OUT045,4044.833423554269
FDR36,OUT046,492.44415887799414
FDZ45,OUT046,3324.701263369762
FDG05,OUT017,2722.17762925925
FDK28,OUT013,3899.9349665310388
FDV47,OUT045,1379.2626376151434
FDN21,OUT045,2546.788532430977
FDP20,OUT027,2317.923512393349
FDI35,OUT045,3215.140089673976
DRY23,OUT013,492.44415887799414
FDA56,OUT017,2099.5656543232503
FDB09,OUT013,1960.9783180459326
NCO26,OUT027,2255.2383410769603
FDQ49,OUT018,2318.89509060648
FDI52,OUT027,2185.815169156557
FDZ44,OUT027,2285.8589134369063
FDZ09,OUT018,2181.5779070991225
FDY03,OUT049,1973.9842336272889
NCG42,OUT017,2113.495638270484
DRI13,OUT027,3456.585360681472
FDQ32,OUT013,1943.0635563973954
FDW16,OUT035,1594.4342527904055
FDU27,OUT046,610.7367883331681
FDR28,OUT010,1035.7972724110782
FDQ49,OUT010,1010.3855403216963
FDS37,OUT046,1918.1367720821427
FDW26,OUT018,3371.0718130515943
FDX12,OUT018,3626.84595580905
NCP06,OUT013,2532.7384489759397
FDW45,OUT010,1054.1109294021876
NCN30,OUT049,1851.549912619932
FDN24,OUT049,861.2038659995357
NCL41,OUT027,1056.9930068572555
FDR02,OUT019,2093.5276920708293
FDD09,OUT010,1393.2815288996078
FDS33,OUT010,-124.26673670220543
FDU22,OUT045,1943.764219756753
FDI53,OUT013,2306.0954336731425
DRH01,OUT049,2770.098911647105
FDX32,OUT013,1822.9371483867442
NCP30,OUT018,420.4742648432867
FDB60,OUT045,3162.768381198025
FDB14,OUT049,1555.9373548795206
NCP02,OUT035,1012.5578938166186
FDJ10,OUT017,1991.3728342387162
FDG34,OUT046,1840.3263374749347
NCB18,OUT017,1534.9247296732647
FDM16,OUT049,1005.6588641480832
FDW25,OUT018,1327.0256787306407
FDB35,OUT010,-300.02564473827863
DRN11,OUT013,1685.7958889427493
FDF41,OUT019,3103.516061672775
FDH16,OUT045,1326.8909291391933
NCQ50,OUT018,2913.561525172389
DRH23,OUT018,480.67920358433366
DRJ37,OUT013,2433.5631387608223
DRJ24,OUT027,3336.808587761863
FDY16,OUT035,3293.261276383971
FDQ27,OUT045,1810.2780544143732
FDZ33,OUT045,2339.9047851590626
FDF29,OUT045,2103.422999067442
FDA08,OUT049,2515.47489183852
FDG31,OUT046,950.4947401305153
FDE34,OUT019,3512.567495797936
NCR30,OUT027,1308.6641077137567
FDV33,OUT035,4036.269257376368
DRZ24,OUT018,1635.4101874757034
NCL54,OUT035,2955.550730491947
FDR12,OUT049,2914.5539097956525
NCC54,OUT046,3691.6780352025676
DRN59,OUT013,930.7747704544263
FDX50,OUT019,1947.5200198255807
FDV31,OUT027,3051.3530190967767
NCA29,OUT027,3248.179725721274
FDW60,OUT049,3106.165876714009
FDX08,OUT017,3310.9031995157525
DRD49,OUT013,3614.046298875713
FDD33,OUT046,3632.7305990696086
FDW35,OUT013,668.2030669140669
FDJ36,OUT017,1602.2947200848569
FDV51,OUT035,2886.0391251672527
FDW36,OUT046,1619.4924258597573
FDH35,OUT046,2474.240751768187
NCS30,OUT027,2411.4140952892362
FDN49,OUT017,650.5295858393279
FDL08,OUT018,3527.670645593933
FDI09,OUT013,3606.908484234523
FDP19,OUT018,1471.6646908157336
FDU21,OUT010,-1047.1036050648586
NCP41,OUT045,1814.3088153572187
FDY10,OUT013,1905.7901171703875
FDP12,OUT018,362.893716096772
NCN26,OUT049,1952.2330975112855
FDK44,OUT013,2736.0025862179627
FDC28,OUT049,1653.588751288901
FDJ41,OUT027,4107.918894099781
NCT29,OUT035,2014.3203280553664
NCH42,OUT019,4090.966322192562
FDU60,OUT018,2352.843972690407
FDS02,OUT045,2881.1721236054827
FDC51,OUT046,1993.8519358378664
FDU03,OUT013,3187.547557898587
FDX39,OUT045,3301.1295334564984
NCY05,OUT010,-769.1329704562296
NCL06,OUT027,4575.167280257622
FDD32,OUT035,1573.3664542019812
NCN41,OUT045,1957.8335462123623
NCX53,OUT049,2081.1545732130153
FDU57,OUT019,2626.002147379353
FDQ23,OUT046,1725.8055507160655
FDQ52,OUT045,3880.2128721643044
FDC14,OUT045,738.4978021448711
FDY09,OUT035,3038.543011327843
FDQ28,OUT045,2482.7900754032016
FDV25,OUT046,3764.838942306401
FDJ07,OUT035,2002.7826919791016
DRB25,OUT049,1729.2813037852623
FDK52,OUT019,3915.683189456328
FDY52,OUT027,1318.2168814852796
FDB28,OUT046,3194.6853725397773
FDT36,OUT035,598.1578773633778
FDV25,OUT017,3870.5526607917855
NCN07,OUT027,2382.641875781055
FDC57,OUT017,3158.175932019481
FDQ03,OUT018,3655.734906566244
FDU23,OUT017,2872.943744690076
NCX41,OUT035,3320.2103576745612
NCD06,OUT035,808.3578724277869
FDW08,OUT045,1441.0645212899524
NCU29,OUT017,2737.1307988315602
NCE06,OUT013,2616.463910773866
FDV52,OUT010,-920.567528330312
FDB02,OUT017,2986.1713028518925
NCR18,OUT045,777.7741301436439
FDK16,OUT049,1738.8340775567847
NCQ29,OUT010,2109.4115173555906
FDZ01,OUT019,2132.8040200696028
FDW27,OUT035,2411.809152158526
FDD17,OUT018,3633.9837704502397
FDW39,OUT013,2880.457584366509
DRH59,OUT045,862.1046420290618
FDS52,OUT013,1704.737752127641
FDU40,OUT027,3533.6352943863603
NCF54,OUT013,2808.6014063376133
FDH46,OUT045,1722.6607788824952
NCP14,OUT049,1563.0751695207114
FDH50,OUT049,3231.3133883482647
DRF15,OUT010,886.8775601767807
FDV27,OUT027,1804.070967183836
NCJ06,OUT049,1945.0952828700952
FDN02,OUT018,3118.308071768416
FDQ51,OUT049,1025.215222470767
FDQ07,OUT017,3957.022160295493
FDS45,OUT049,1912.237515064792
NCJ06,OUT045,2004.6371479515287
FDD36,OUT035,2063.1268185662993
FDY25,OUT045,3162.768381198025
FDU52,OUT046,2433.5631387608223
DRK47,OUT017,3828.9578993231817
NCL30,OUT017,2048.777274882779
FDN22,OUT035,3844.792288398073
NCF30,OUT027,2185.815169156557
FDK03,OUT035,4005.648685016423
